,date,year,num_segs_new,num_segs_distinct_new,sum_seg_length_h_new,sum_seg_day_length_h_new,num_segs_with_idents_new,min_num_idents_new,max_num_idents_new,avg_num_idents_new,total_msg_count_new,total_cumul_msg_count_new,num_segs_old,num_segs_distinct_old,sum_seg_length_h_old,sum_seg_day_length_h_old,num_segs_with_idents_old,min_num_idents_old,max_num_idents_old,avg_num_idents_old,total_msg_count_old,num_segs_diff,num_segs_distinct_diff,sum_seg_length_h_diff,sum_seg_day_length_h_diff,num_segs_with_idents_diff,min_num_idents_diff,max_num_idents_diff,avg_num_idents_diff,total_msg_count_diff,avg_seg_length_h_new,avg_seg_length_h_old,avg_seg_length_h_diff,prop_segs_with_idents_new,prop_segs_with_idents_old,prop_segs_with_idents_diff
0,2017-01-01,2017,166801,166801,209688399.08333313,2592368.4,129882,0,99,0.8380405393253042,24494883,1292482385,484873,484873,208426630.49999723,2587648.716666665,130512,0,99,0.29189499105951233,1352495062,-318072,-318072,1261768.5833359063,4719.683333334979,-630,0,0,0.5461455482657919,-1328000179,1257.1171580705939,429.85819070147693,827.2589673691169,0.7786643964964238,0.2691673902238318,-630
1,2017-01-02,2017,170414,170414,210429930.99999967,2557511.9333333345,132682,0,103,0.8315807386717062,23725939,1306982472,488698,488698,209134618.43332946,2553482.2333333404,133208,0,103,0.292434182255702,1363575659,-318284,-318284,1295312.5666702092,4029.6999999941327,-526,0,0,0.5391465564160043,-1339849720,1234.8159834285896,427.9424479603548,806.8735354682348,0.7785862663865645,0.27257733815157825,-526
2,2017-01-03,2017,176294,176294,211325868.61666703,2696579.9666666654,137459,0,107,0.8412084359081982,26067465,1322633323,498741,498741,210029060.78333008,2691730.549999917,138153,0,109,0.3019362755418147,1374915730,-322447,-322447,1296807.8333369493,4849.416666748468,-694,0,-2,0.5392721603663835,-1348848265,1198.7127674036951,421.1184979444844,777.5942694592108,0.7797145677107559,0.27700349479990616,-694
3,2017-01-04,2017,179639,179639,211888505.88333303,2715950.016666664,139372,0,89,0.8338000100200957,26621557,1336642027,503148,503148,210649979.33332986,2710607.8166665803,140112,0,89,0.30204035393164524,1388942326,-323509,-323509,1238526.550003171,5342.20000008354,-740,0,0,0.5317596560884505,-1362320769,1179.5239668631702,418.66404980906185,760.8599170541083,0.7758448889161039,0.27847074816952466,-740
4,2017-01-05,2017,176772,176772,212158545.88333338,2685404.700000004,137501,0,90,0.8378872219582284,26830896,1349670668,506918,506918,210949608.96666276,2680530.449999945,138160,0,90,0.29681329130155,1403676414,-330146,-330146,1208936.9166706204,4874.250000059139,-659,0,0,0.5410739306566784,-1376845518,1200.181849406769,416.14148435577897,784.0403650509901,0.7778437761636459,0.2725490118717426,-659
5,2017-01-06,2017,173661,173661,212296678.49999982,2677392.299999999,134804,0,119,0.8353285999735112,26822129,1361307163,510949,510949,211098461.46666312,2672430.0499999058,135726,0,119,0.28909538916800454,1418982352,-337288,-337288,1198217.033336699,4962.250000093132,-922,0,0,0.5462332108055066,-1392160223,1222.4775770034712,413.1497692855121,809.3278077179591,0.7762479773812198,0.26563512209633444,-922
6,2017-01-07,2017,169599,169599,212409092.40000024,2635892.399999997,132300,0,67,0.8375815895140885,26627361,1372456437,513629,513629,211211601.4666624,2631171.5333332783,133045,0,67,0.2808895136372735,1433001527,-344030,-344030,1197490.9333378375,4720.866666718852,-745,0,0,0.556692075876815,-1406374166,1252.4194859639517,411.2143229191934,841.2051630447584,0.7800753542178904,0.25902937723531966,-745
7,2017-01-08,2017,165816,165816,212740911.55000013,2591348.95,129518,0,88,0.8376513726057805,26032704,1383956207,516940,516940,211526651.36666256,2587019.7666665968,130266,0,90,0.2727647309165454,1446240639,-351124,-351124,1214260.1833375692,4329.183333403431,-748,0,-2,0.5648866416892351,-1420207935,1282.993870012545,409.18994731818503,873.8039226943599,0.7810947073865007,0.25199442875382055,-748
8,2017-01-09,2017,172137,172137,213274756.966667,2625863.666666669,133601,0,88,0.830669757228254,25894891,1396593580,528170,528170,212074490.79999572,2621190.316666622,134318,0,88,0.27483196698032064,1459791810,-356033,-356033,1200266.166671276,4673.350000046659,-717,0,0,0.5558377902479333,-1433896919,1238.9826531580486,401.5269530643462,837.4557000937025,0.7761318019949226,0.25430827195789235,-717
9,2017-01-10,2017,174783,174783,213558031.54999995,2644076.5333333327,134145,0,105,0.8204001533329889,26035659,1406174338,532288,532288,212346326.24999368,2639198.733333312,134964,0,105,0.2734722556210203,1468205279,-357505,-357505,1211705.3000062704,4877.8000000207685,-819,0,0,0.5469278977119686,-1442169620,1221.8466987636095,398.9312670020622,822.9154317615473,0.767494550385335,0.2535544667548395,-819
