,date,year,num_segs_new,num_segs_distinct_new,sum_seg_length_h_new,sum_seg_day_length_h_new,num_segs_with_idents_new,min_num_idents_new,max_num_idents_new,avg_num_idents_new,avg_num_idents_non_zero_new,total_msg_count_new,total_cumul_msg_count_new,num_segs_old,num_segs_distinct_old,num_segs_stale_old,num_segs_with_stale_old,sum_seg_length_h_old,sum_seg_day_length_h_old,num_segs_with_idents_old,min_num_idents_old,max_num_idents_old,avg_num_idents_old,avg_num_idents_non_zero_old,avg_num_idents_active_only_old,total_msg_count_old,num_segs_diff,num_segs_distinct_diff,sum_seg_length_h_diff,sum_seg_day_length_h_diff,num_segs_with_idents_diff,min_num_idents_diff,max_num_idents_diff,avg_num_idents_diff,avg_num_idents_non_zero_diff,total_msg_count_diff,avg_seg_length_h_new,avg_seg_length_h_old,avg_seg_length_h_diff,prop_segs_with_idents_new,prop_segs_with_idents_old,prop_segs_with_idents_diff
0,2017-01-01,2017,166801,166801,209688399.08333325,2592368.3999999985,129882,0,99,0.838040539325304,1.0762538303999012,24494883,1292482385,167253,167253,317620,484873,208426630.49999723,2587648.716666665,130512,0,99,0.29189499105951233,1.0844366801520222,0.8462150155752002,1352495062,-452,-452,1261768.5833360255,4719.683333333582,-630,0,0,-0.008174476249896201,-0.008182849752121024,-1328000179,1257.1171580705945,1246.1757367580685,10.941421312526018,0.7786643964964238,0.7803268102814299,-0.0016624137850060894
1,2017-01-02,2017,170414,170414,210429930.99999997,2557511.9333333336,132682,0,103,0.831580738671705,1.068064997512849,23725939,1306982472,170943,170943,317755,488698,209134618.43332946,2553482.2333333404,133208,0,103,0.292434182255702,1.0728484775689102,0.8360213638464267,1363575659,-529,-529,1295312.5666705072,4029.6999999932013,-526,0,0,-0.004440625174721657,-0.004783480056061329,-1339849720,1234.8159834285914,1223.4172702791543,11.398713149437071,0.7785862663865645,0.7792539033478996,-0.0006676369613350941
2,2017-01-03,2017,176294,176294,211325868.61666682,2696579.9666666705,137459,0,107,0.8412084359081987,1.078867153114749,26067465,1322633323,176875,176875,321866,498741,210029060.78333008,2691730.549999917,138153,0,109,0.3019362755418147,1.0900089031725761,0.8513809187279113,1374915730,-581,-581,1296807.8333367407,4849.41666675359,-694,0,-2,-0.010172482819712614,-0.011141750057827249,-1348848265,1198.712767403694,1187.4434531919721,11.269314211721849,0.7797145677107559,0.7810770318021202,-0.0013624640913643127
3,2017-01-04,2017,179639,179639,211888505.88333327,2715950.0166666624,139372,0,89,0.8338000100200958,1.0746993657262571,26621557,1336642027,180504,180504,322644,503148,210649979.33332986,2710607.8166665803,140112,0,89,0.30204035393164524,1.0846394313120882,0.8419259406993734,1388942326,-865,-865,1238526.5500034094,5342.200000082143,-740,0,0,-0.008125930679277582,-0.009940065585831048,-1362320769,1179.5239668631716,1167.0100348653207,12.513931997850932,0.7758448889161039,0.7762265656162745,-0.0003816767001705301
4,2017-01-05,2017,176772,176772,212158545.8833336,2685404.6999999974,137501,0,90,0.8378872219582285,1.0771921658751578,26830896,1349670668,177420,177420,329498,506918,210949608.96666276,2680530.449999945,138160,0,90,0.29681329130155,1.089027214823394,0.8480441889302257,1403676414,-648,-648,1208936.916670829,4874.25000005262,-659,0,0,-0.010156966971997194,-0.011835048948236171,-1376845518,1200.1818494067702,1188.9843815052575,11.19746790151271,0.7778437761636459,0.7787171683012062,-0.0008733921375603249
5,2017-01-06,2017,173661,173661,212296678.50000012,2677392.3,134804,0,119,0.835328599973512,1.0761105011720733,26822129,1361307163,174557,174557,336392,510949,211098461.46666312,2672430.0499999058,135726,0,119,0.28909538916800454,1.0883176399510677,0.8462164221429097,1418982352,-896,-896,1198217.033336997,4962.250000094064,-922,0,0,-0.010887822169397654,-0.012207138778994375,-1392160223,1222.477577003473,1209.3382761313676,13.139300872105423,0.7762479773812198,0.7775454436086779,-0.0012974662274581883
6,2017-01-07,2017,169599,169599,212409092.40000027,2635892.3999999966,132300,0,67,0.8375815895140898,1.0737188208616775,26627361,1372456437,170157,170157,343472,513629,211211601.4666624,2631171.5333332783,133045,0,67,0.2808895136372735,1.0843924987786038,0.8478816622295894,1433001527,-558,-558,1197490.9333378673,4720.866666718386,-745,0,0,-0.010300072715499597,-0.010673677916926305,-1406374166,1252.419485963952,1241.2748312832407,11.144654680711255,0.7800753542178904,0.7818955435274482,-0.0018201893095577404
7,2017-01-08,2017,165816,165816,212740911.54999992,2591348.95,129518,0,88,0.8376513726057792,1.072406924134097,26032704,1383956207,166429,166429,350511,516940,211526651.36666256,2587019.7666665968,130266,0,90,0.2727647309165454,1.0824236562111387,0.8472261444820344,1446240639,-613,-613,1214260.1833373606,4329.183333403431,-748,0,-2,-0.009574771876255217,-0.010016732077041679,-1420207935,1282.9938700125435,1270.9723147207671,12.021555291776394,0.7810947073865007,0.7827121475223668,-0.0016174401358661772
8,2017-01-09,2017,172137,172137,213274756.966667,2625863.6666666633,133601,0,88,0.8306697572282543,1.0702689351127603,25894891,1396593580,172733,172733,355437,528170,212074490.79999572,2621190.316666622,134318,0,88,0.27483196698032064,1.0807040009529645,0.8403605564657587,1459791810,-596,-596,1200266.166671276,4673.350000041071,-717,0,0,-0.009690799237504377,-0.01043506584020415,-1433896919,1238.9826531580486,1227.7589736761113,11.223679481937324,0.7761318019949226,0.7776047425795881,-0.0014729405846655164
9,2017-01-10,2017,174783,174783,213558031.5499999,2644076.533333332,134145,0,105,0.8204001533329907,1.0689328711468928,26035659,1406174338,175421,175421,356867,532288,212346326.24999368,2639198.733333312,134964,0,105,0.2734722556210203,1.0785542811416384,0.8298094298858248,1468205279,-638,-638,1211705.3000062108,4877.800000019837,-819,0,0,-0.00940927655283419,-0.009621409994745589,-1442169620,1221.846698763609,1210.4954723208377,11.351226442771349,0.767494550385335,0.7693719680083912,-0.0018774176230562656
10,2017-01-11,2017,173809,173809,214014591.01666668,2669386.1999999983,133817,0,107,0.8243128951895463,1.0706636675459784,26427621,1416783420,174121,174121,360372,534493,212795642.18332928,2664469.81666658,134498,0,108,0.27238149049660326,1.0824398875819599,0.8361197098569407,1478458631,-312,-312,1218948.8333373964,4916.383333418518,-681,0,-1,-0.011806814667394416,-0.011776220035981444,-1452031010,1231.3205358564096,1222.1136002166843,9.206935639725316,0.769908347668993,0.7724398550433319,-0.002531507374338937
11,2017-01-12,2017,174991,174991,214743777.8500002,2685149.649999999,134942,0,80,0.828648330485568,1.074580190007558,27084988,1429790448,175417,175417,363807,539224,213511694.83333007,2679502.66666661,135669,0,82,0.2727141225168076,1.0839174756208152,0.8383109960836203,1490572496,-426,-426,1232083.0166701376,5646.983333388809,-727,0,-2,-0.009662665598052289,-0.009337285613257196,-1463487508,1227.1704136212732,1217.1664937453613,10.003919875911834,0.7711368013212108,0.7734085065871609,-0.002271705265950108
12,2017-01-13,2017,169424,169424,215098228.73333317,2628192.150000001,130251,0,83,0.8194470677117762,1.0658958472487723,26751325,1441169519,169643,169643,370802,540445,213912882.19999352,2623247.4333332833,130738,0,83,0.25976926421744395,1.0738346922853195,0.8275673031012226,1503214170,-219,-219,1185346.5333396494,4944.716666717548,-487,0,0,-0.008120235389446395,-0.007938845036547182,-1476462845,1269.5853523310343,1260.9590858449421,8.626266486092163,0.7687871848144301,0.770665456281721,-0.001878271467290915
13,2017-01-14,2017,165063,165063,215060303.38333368,2575966.4333333387,125653,0,95,0.8118173061194822,1.0664369334596084,26054675,1449579093,165319,165319,379269,544588,213878747.4833301,2571237.0333332717,126203,0,96,0.248900085936526,1.0740473681291278,0.8199178557818564,1514790395,-256,-256,1181555.9000035822,4729.400000066962,-550,0,-1,-0.008100549662374168,-0.007610434669519384,-1488735720,1302.8983078178253,1293.733614910144,9.164692907681228,0.7612426770384642,0.7633907778295296,-0.0021481007910654215
14,2017-01-15,2017,165828,165828,215303506.56666666,2560756.0666666646,126070,0,120,0.8156644233784407,1.0728960101530893,25511306,1458178561,165917,165917,385092,551009,214134374.0499956,2555816.8166666217,126540,0,120,0.24825728799348315,1.0810178599652196,0.8244604229825853,1526936778,-89,-89,1169132.5166710615,4939.250000042841,-470,0,0,-0.008795999604144566,-0.008121849812130266,-1501425472,1298.3543585321336,1290.6114144421342,7.742944089999355,0.7602455556359602,0.7626704918724423,-0.0024249362364821003
15,2017-01-16,2017,170492,170492,215980837.21666664,2621464.9166666633,130559,0,61,0.8186777092180278,1.0690798795946663,26278457,1470603925,170856,170856,389152,560008,214810998.48332825,2616571.0999999563,131211,0,61,0.25259103441379094,1.078057479936892,0.8279077117572731,1539618813,-364,-364,1169838.7333383858,4893.816666706931,-652,0,0,-0.009230002539245219,-0.008977600342225722,-1513340356,1266.8092181255815,1257.2634176343133,9.54580049126821,0.7657778664101541,0.7679624947324062,-0.00218462832225208
16,2017-01-17,2017,174415,174415,216372561.60000005,2663056.666666668,133449,0,68,0.816718745520741,1.0674340010041299,27189499,1480791639,174753,174753,389457,564210,215188895.94999638,2657957.4999999655,134157,0,68,0.2559614327998444,1.0764701059206765,0.8264006912613721,1548682309,-338,-338,1183665.6500036716,5099.166666702367,-708,0,0,-0.009681945740631082,-0.009036104916546606,-1521492810,1240.561658114268,1231.3888514073944,9.172806706873644,0.7651234125505261,0.7676949751935589,-0.002571562643032821
17,2017-01-18,2017,173933,173933,216803999.1333333,2655053.8166666664,133340,0,55,0.8217072090977566,1.0718614069296537,27099564,1491680546,174241,174241,393072,567313,215623619.53332794,2649752.233333261,133898,0,56,0.254882225508665,1.0799115744820775,0.8298735659230665,1560246504,-308,-308,1180379.6000053585,5301.5833334052,-558,0,-1,-0.008166356825309862,-0.008050167552423826,-1533146940,1246.479961441091,1237.5021925570213,8.977768884069746,0.7666170306957276,0.7684643683174454,-0.0018473376217177373
18,2017-01-19,2017,172032,172032,217165811.98333347,2607701.1999999983,130781,0,77,0.8136102585565487,1.0702395607924702,26354044,1501959196,172244,172244,399099,571343,215990267.08332708,2602217.6666666204,131233,0,78,0.24743280306225945,1.0772366706544843,0.8207484730963039,1571450167,-212,-212,1175544.9000063837,5483.533333377913,-452,0,-1,-0.007138214539755272,-0.006997109862014073,-1545096123,1262.3570730057982,1253.978467077675,8.37860592812308,0.7602132161458334,0.7619017208146582,-0.001688504668824864
19,2017-01-20,2017,160527,160527,217106230.6833335,2538145.716666672,120521,0,58,0.7902471235368514,1.052563453671974,25586441,1509118048,160906,160906,408935,569841,215924045.01666197,2533668.6166666173,120967,0,59,0.22468021781513825,1.0584043582134055,0.7956943805700232,1581626413,-379,-379,1182185.6666715145,4477.1000000545755,-446,0,-1,-0.005447257033171726,-0.005840904541431602,-1556039972,1352.4592790205604,1341.926621857867,10.53265716269334,0.7507833573168377,0.751786757485737,-0.0010034001688993266
20,2017-01-21,2017,154714,154714,216771548.41666675,2487731.883333334,117082,0,64,0.7985508745168504,1.0552177106643208,24931948,1514426482,154941,154941,417193,572134,215606112.03332976,2484064.4333332684,117449,0,64,0.21771123547980428,1.0605454282284255,0.8039189110693747,1592655527,-227,-227,1165436.383336991,3667.450000065379,-367,0,0,-0.00536803655252438,-0.0053277175641046615,-1567723579,1401.1113953272925,1391.536856179641,9.574539147651421,0.7567640937471722,0.7580240220471018,-0.0012599282999296024
21,2017-01-22,2017,151333,151333,216835143.56666666,2447727.0666666683,115104,0,101,0.8027660853878523,1.0554368223519608,24754059,1521522785,151657,151657,423020,574677,215684640.73333022,2444263.1999999373,115502,0,101,0.2130988363898285,1.0602673546778416,0.8074998186697553,1603748665,-324,-324,1150502.8333364427,3463.866666730959,-398,0,0,-0.004733733281902963,-0.004830532325880821,-1578994606,1432.8345011773154,1422.1871772046804,10.647323972634922,0.7606007942748773,0.7616001899022136,-0.000999395627336308
22,2017-01-23,2017,150219,150219,216896024.5166667,2461246.683333335,114676,0,117,0.8031340908939625,1.0520597160696223,24623037,1529183079,150689,150689,428242,578931,215766017.76666266,2458112.2166666333,115074,0,117,0.20999566442288037,1.0564767019483057,0.8067808532805937,1614288435,-470,-470,1130006.750004053,3134.4666667017154,-398,0,0,-0.003646762386631197,-0.004416985878683333,-1589665398,1443.8654532160826,1431.8630939661332,12.00235924994945,0.7633921141799639,0.7636522904790661,-0.0002601762991022438
23,2017-01-24,2017,148452,148452,216907621.49999982,2445759.4666666645,113766,0,74,0.8034718292781504,1.0484415378935725,24230244,1534403364,148991,148991,430157,579148,215746535.4999975,2442189.3999999515,114180,0,76,0.20765158474172962,1.0532580136626426,0.807169560577482,1621121650,-539,-539,1161086.0000023246,3570.0666667129844,-414,0,-2,-0.003697731299331597,-0.004816475769070072,-1596891406,1461.1296681755707,1448.0507916585398,13.078876517030949,0.7663487187777868,0.7663550147324335,-6.295954646740043e-06
24,2017-01-25,2017,144065,144065,217024347.04999983,2391731.916666669,111815,0,117,0.8150973518897723,1.05019004605822,24196212,1541190818,144487,144487,435042,579529,215849460.56666267,2388758.9833332757,112143,0,117,0.20411230499250463,1.0548050257260886,0.8186826496501397,1630594999,-422,-422,1174886.483337164,2972.9333333931863,-328,0,0,-0.003585297760367423,-0.004614979667868502,-1606398787,1506.4335338215378,1493.9022927091203,12.531241112417547,0.7761427133585534,0.776145950846789,-3.237488235496855e-06
25,2017-01-26,2017,141155,141155,216828913.8166668,2314583.4666666673,107384,0,80,0.7975913003435936,1.0484243462713259,23529691,1546438249,141506,141506,441821,583327,215666492.04999632,2311327.866666613,107689,0,81,0.19449296878079975,1.0535245011096679,0.8017539892301375,1641236065,-351,-351,1162421.7666704953,3255.60000005411,-305,0,-1,-0.004162688886543919,-0.00510015483834203,-1617706374,1536.1050888503191,1524.0801948327019,12.024894017617271,0.7607523644220892,0.7610207341031475,-0.0002683696810583669
26,2017-01-27,2017,132475,132475,216179059.09999993,2255524.4000000004,103358,0,64,0.8176108699754674,1.0479401691209205,23576061,1549501008,132693,132693,450020,582713,215057955.91666448,2252933.6333332867,103502,0,64,0.18667680316038862,1.0509845220382177,0.8197794910055505,1652275369,-218,-218,1121103.1833354533,2590.7666667136364,-144,0,0,-0.0021686210300830844,-0.0030443529172972106,-1628699308,1631.8479645216073,1620.7181683786218,11.12979614298547,0.7802075863370447,0.7800110028411446,0.0001965834959001267
27,2017-01-28,2017,133535,133535,215911273.01666653,2255904.649999999,102621,0,31,0.8104916314074967,1.05464768419719,24019771,1556033790,133736,133736,456237,589973,214824968.5666633,2252970.4499999667,102748,0,31,0.18403893059513107,1.056740763810482,0.8118831129987452,1663769615,-201,-201,1086304.4500032365,2934.200000032317,-127,0,0,-0.0013914815912484668,-0.0020930796132920815,-1639749844,1616.8890030079494,1606.336129139972,10.552873867977496,0.7684951510839855,0.7682897649099719,0.0002053861740135554
28,2017-01-29,2017,139404,139404,216412478.9833332,2267117.133333334,105674,0,66,0.8022797050299851,1.0583587258928413,24239221,1566536427,139614,139614,458759,598373,215312848.68333092,2264426.1333332565,105844,0,67,0.18778755057464583,1.0616284342995388,0.8048404887762002,1674926904,-210,-210,1099630.300002277,2691.0000000773,-170,0,-1,-0.002560783746215045,-0.0032697084066974913,-1650687683,1552.4122620823878,1542.2009876039,10.211274478487667,0.7580413761441566,0.7581188132995258,-7.743715536923101e-05
