,year,num_segs,num_segs_distinct,avg_num_days,min_num_days,max_num_days,med_num_days,med_num_days_over1,earliest_seg_start
0,2012,6251758,6251758,3.967792419348285,1,366,1,3,2012-01-01 00:00:00+00:00
1,2013,13165946,13165946,3.405985866872007,1,365,1,3,2012-01-01 00:00:03+00:00
2,2014,13598588,13598588,3.583209742070278,1,365,1,3,2012-01-01 00:00:03+00:00
3,2015,14379308,14379308,3.5581408368191276,1,365,1,3,2012-01-01 00:00:03+00:00
4,2016,15678527,15678527,3.812398958141921,1,366,1,3,2012-01-01 00:00:03+00:00
5,2017,21238433,21238433,3.4771212640781917,1,365,1,3,2012-01-01 00:00:58+00:00
6,2018,22927589,22927589,3.51101103565665,1,365,1,3,2012-01-01 00:00:58+00:00
7,2019,22472604,22472604,3.7416678547799807,1,365,1,3,2012-01-01 00:01:34+00:00
8,2020,22343931,22343931,3.8051849515646987,1,366,1,3,2012-01-01 00:04:45+00:00
9,2021,21123305,21123305,4.200546978799001,1,365,1,3,2012-01-01 00:04:45+00:00
10,2022,24491047,24491047,4.097240391560231,1,365,1,3,2012-01-01 00:12:25+00:00
11,2023,16012604,16012604,3.373379370400966,1,156,1,3,2012-01-01 00:12:25+00:00
